id,ra_deg,dec_deg,cz_kms,glat_deg
14294038+0314003,217.41827,3.23339,1676.0,56.502086288291714
11031119+2758207,165.79671,27.9725,1525.0,66.04008330073398
15070767+0132394,226.78198,1.54428,2544.0,48.635991273306615
13041314-0533058,196.05476,-5.55162,1291.0,57.1742844614428
11540670-3952015,178.52789,-39.86706,2960.0,21.68774948191444
23005996+3008412,345.24982,30.14478,812.0,-26.936042371043985
01562095+0537437,29.08735,5.62887,5561.0,-53.67633600500981
23585980-5527301,359.74915,-55.45834,3321.0,-60.12051696415134
23155750+0641149,348.98959,6.68752,3608.0,-49.04509250547412
12543777+4631521,193.65741,46.53115,891.0,70.58686481032349
14320558+5755171,218.02322,57.92143,1898.0,54.504786630320815
12513184-2627077,192.88266,-26.45209,3215.0,36.4196529411556
15215656+0504139,230.48567,5.07054,1480.0,47.93817767403637
